"variable","p_value"
"con_28",7.05723588299657e-08
"con_52",0.00288096336904639
"con_101",0.00159952303278744
"con_118_d",1.11923761441318e-06
"con_153",9.89757703624552e-06
"con_138",1.55966555499107e-05
"con_180",9.45194510719745e-11
