"","con_28","con_52","con_101","con_118_d","con_153","con_138","con_180"
"con_28",NA,0,8.83153986830365e-07,1.7721615286348e-08,3.21048317797334e-06,0.114821003164129,0.0262354299944698
"con_52",0,NA,6.25473006721222e-11,9.55993062490279e-11,4.30568070086679e-09,0.000998206243592703,0.003787446820116
"con_101",8.83153986830365e-07,6.25473006721222e-11,NA,4.44089209850063e-15,6.92423895998218e-11,4.66959804157341e-13,1.37764328389522e-05
"con_118_d",1.7721615286348e-08,9.55993062490279e-11,4.44089209850063e-15,NA,0,3.73479025483903e-13,5.04286057356751e-09
"con_153",3.21048317797334e-06,4.30568070086679e-09,6.92423895998218e-11,0,NA,1.77635683940025e-15,1.23941967800079e-09
"con_138",0.114821003164129,0.000998206243592703,4.66959804157341e-13,3.73479025483903e-13,1.77635683940025e-15,NA,3.96872090746569e-10
"con_180",0.0262354299944698,0.003787446820116,1.37764328389522e-05,5.04286057356751e-09,1.23941967800079e-09,3.96872090746569e-10,NA
