"cluster","con_28","con_52","con_101","con_118_d","con_153","con_138","con_180"
"1",1.68823529411765,1.20588235294118,0.958823529411765,1.14117647058824,1.18235294117647,0.541176470588235,0.13
"2",1.125,1.4375,1.6375,2.2625,2.3875,1.5875,0.36125
"3",0.42,0.55,0.79,0.74,0.83,0.6175,0.075
